fact_id,context,claim,label,claim_type
gion,"A Gion, il quartiere storico di Kyoto, dal 2024 alcuni vicoli privati sono off-limits per i turisti, con multe fino a 10000 yen per i trasgressori; le vie pubbliche principali, come Hanamikoji, restano percorribili.",Dal 2024 l'intero quartiere di Gion è chiuso ai visitatori.,0,contradiction
kanazawa_kenrokuen,"Il giardino Kenroku-en di Kanazawa, considerato uno dei tre giardini più belli del Giappone, costa 320 yen per gli adulti ed è aperto dalle 7:00 alle 18:00 da marzo a metà ottobre.",In inverno gli alberi del Kenroku-en vengono protetti con le corde yukitsuri.,2,neutral_hard
universal_osaka,"Per entrare agli Universal Studios Japan di Osaka serve lo Studio Pass; nei giorni di maggiore affluenza l'accesso a Super Nintendo World richiede in aggiunta un biglietto a orario gratuito, ottenibile dall'app ufficiale.",Super Nintendo World non richiede mai biglietti a orario.,0,contradiction
miyajima,"L'isola di Miyajima, vicino a Hiroshima, è celebre per il torii galleggiante del santuario di Itsukushima. Il traghetto da Miyajimaguchi impiega circa 10 minuti e dal 2023 i visitatori pagano una tassa di ingresso di 100 yen.",Il momiji manju è il dolce tipico di Miyajima.,2,neutral_hard
train_etiquette,"In Giappone sui mezzi su rotaia si evita di telefonare e si tiene il telefono in modalità silenziosa; in alcune linee, nelle ore di punta, esistono vagoni riservati alle sole donne.",In metropolitana in Giappone si tiene il telefono in silenzioso.,1,entailment
luggage_forward,"Con il takkyubin, il servizio giapponese di trasporto bagagli, si possono spedire le valigie tra hotel: la consegna avviene di solito il giorno dopo e il prezzo è di circa 2000-3000 yen a valigia.",In Giappone non esiste alcun servizio di spedizione bagagli tra hotel.,0,contradiction
onsen_tattoo,In molti onsen tradizionali giapponesi l'ingresso alle persone tatuate è ancora vietato o limitato; alcune strutture consentono l'accesso se il tatuaggio viene coperto con un cerotto. Prima di entrare in vasca è obbligatorio lavarsi accuratamente il corpo.,Molti onsen forniscono asciugamani a noleggio a pagamento.,2,neutral_hard
ryokan,"Un ryokan tradizionale prevede il pernottamento su futon posati sul tatami; nel prezzo sono spesso comprese la cena kaiseki e la colazione, e il check-in si effettua solitamente tra le 15:00 e le 17:00.",La tariffa dei ryokan include spesso cena e colazione.,1,entailment
nara_deer,Nel parco di Nara vivono in libertà oltre mille cervi sika considerati messaggeri divini; i visitatori possono nutrirli solo con gli appositi cracker shika senbei venduti nel parco a circa 200 yen.,Nel parco di Nara è vietato avvicinarsi ai cervi.,0,contradiction
fushimi_inari,"Fushimi Inari Taisha, il santuario di Kyoto noto per i tunnel di torii vermigli, non richiede alcun biglietto d'ingresso ed è visitabile a qualsiasi ora, ogni giorno dell'anno.",Non serve un biglietto per entrare al Fushimi Inari.,1,entailment
onigiri_price,"Mangiare in Giappone può essere economico: un pasto in una catena di gyudon come Yoshinoya o Sukiya costa circa 500-700 yen, mentre un ramen in un locale medio si aggira sui 1000 yen.",Un gyudon da Yoshinoya costa circa 7000 yen.,0,contradiction
plug_voltage,In Giappone le prese elettriche sono di tipo A con due lamelle piatte e la tensione è di 100 volt; i viaggiatori europei hanno bisogno di un adattatore.,Le prese italiane funzionano in Giappone senza adattatore.,0,contradiction
sapporo_snowfes,"Il Sapporo Snow Festival si tiene ogni anno a inizio febbraio nel parco Odori e in altre aree della città, con enormi sculture di neve e ghiaccio; l'ingresso alle aree del festival è gratuito.","Il Sapporo Snow Festival si tiene in piena estate, ad agosto.",0,contradiction
tax_free,"Lo shopping tax-free in Giappone è riservato ai turisti stranieri: serve una spesa minima di 5000 yen nello stesso negozio e nello stesso giorno, mostrando il passaporto al momento del pagamento.",Per il tax-free non è necessario alcun documento.,0,contradiction
train_etiquette,Sui treni e sulle metropolitane giapponesi è buona norma non parlare al telefono e tenere la suoneria in modalità silenziosa; nelle ore di punta alcune linee dispongono di carrozze riservate alle donne.,Sui treni giapponesi non è educato parlare al telefono.,1,entailment
sensoji,"Il Senso-ji, nel quartiere di Asakusa a Tokyo, è il tempio più antico della città, fondato nel 645. L'ingresso al tempio è gratuito; la sala principale è aperta dalle 6:00 alle 17:00 (dalle 6:30 da ottobre a marzo).",Entrare al Senso-ji è gratuito.,1,entailment
teamlab,Per visitare teamLab Planets a Tokyo bisogna comprare online un biglietto con fascia oraria; un adulto paga 3800 yen. Il percorso si affronta scalzi perché in alcune sale si cammina nell'acqua.,A teamLab Planets è obbligatorio tenere le scarpe per tutto il percorso.,0,contradiction
tsuyu,"In quasi tutto il Giappone la tsuyu, la stagione delle piogge, dura più o meno da inizio giugno a metà luglio, portando precipitazioni frequenti e umidità elevata; Hokkaido resta in buona parte fuori da questo fenomeno.",La stagione delle piogge in Giappone va circa da inizio giugno a metà luglio.,1,entailment
tipping,Lasciare la mancia in Giappone non è consuetudine e nei ristoranti può addirittura mettere in imbarazzo il personale. Di norma si paga alla cassa e non al tavolo.,I treni Mizuho sono esclusi dal Japan Rail Pass.,2,neutral_easy
